Date,TimePoint_in_hours,Group,Well,H2O2_Concentration_in_uM,Experiment
21.02.2022,2,control,1,0.5401829,1
21.02.2022,2,control,2,0.5158684,1
21.02.2022,2,control,3,0.5325847,1
21.02.2022,4,control,1,0.6035431,1
21.02.2022,4,control,2,0.6142151,1
21.02.2022,4,control,3,0.6497883,1
23.02.2022,2,control,1,1.463962,2
23.02.2022,2,control,2,1.221467,2
23.02.2022,2,control,3,1.153033,2
23.02.2022,4,control,1,0.9417024,2
23.02.2022,4,control,2,1.498134,2
23.02.2022,4,control,3,1.056772,2
23.02.2022,8,control,1,0.3680353,2
23.02.2022,8,control,2,0.3898896,2
23.02.2022,8,control,3,0.4131099,2
14.03.2022,0,control,1,0.7290549,3
14.03.2022,0,control,2,0.6287082,3
14.03.2022,0,control,3,0.5283616,3
14.03.2022,2,control,1,0.8578053,3
14.03.2022,2,control,2,0.8234713,3
14.03.2022,2,control,3,0.7400889,3
14.03.2022,4,control,1,0.05753411,3
14.03.2022,4,control,2,0.02637431,3
14.03.2022,4,control,3,0.08377394,3
14.03.2022,8,control,1,0.1430337,3
14.03.2022,8,control,2,0.1629138,3
14.03.2022,8,control,3,0.1480037,3
14.03.2022,24,control,1,0.2683159,3
14.03.2022,24,control,2,0.4124548,3
14.03.2022,24,control,3,0.4095132,3
18.03.2022,0,control,1,2.348038081,4
18.03.2022,0,control,2,2.305103603,4
18.03.2022,24,control,1,-0.098212217,4
18.03.2022,24,control,2,-0.123042543,4
18.03.2022,24,control,3,-0.058897534,4
21.02.2022,2,stim,1,10.8739,1
21.02.2022,2,stim,2,11.11705,1
21.02.2022,2,stim,3,9.659689,1
21.02.2022,4,stim,1,6.930248,1
21.02.2022,4,stim,2,6.761275,1
21.02.2022,4,stim,3,5.72965,1
23.02.2022,2,stim,1,15.94371,2
23.02.2022,2,stim,2,16.41978,2
23.02.2022,2,stim,3,14.71339,2
23.02.2022,4,stim,1,10.10942,2
23.02.2022,4,stim,2,9.879281,2
23.02.2022,4,stim,3,8.269887,2
23.02.2022,8,stim,1,4.569532,2
23.02.2022,8,stim,2,4.290889,2
23.02.2022,8,stim,3,3.460424,2
14.03.2022,0,stim,1,0.7290549,3
14.03.2022,0,stim,2,0.6287082,3
14.03.2022,0,stim,3,0.5283616,3
14.03.2022,2,stim,1,11.14,3
14.03.2022,2,stim,2,13.34554,3
14.03.2022,2,stim,3,10.27838,3
14.03.2022,4,stim,1,5.310421,3
14.03.2022,4,stim,2,5.603979,3
14.03.2022,4,stim,3,4.351027,3
14.03.2022,8,stim,1,2.412673,3
14.03.2022,8,stim,2,2.147606,3
14.03.2022,8,stim,3,1.738408,3
14.03.2022,24,stim,1,0.9743021,3
14.03.2022,24,stim,2,0.9154699,3
14.03.2022,24,stim,3,0.8669333,3
18.03.2022,0,stim,1,2.348038081,4
18.03.2022,0,stim,2,2.305103603,4
18.03.2022,24,stim,1,0.748088065,4
18.03.2022,24,stim,2,0.671527893,4
18.03.2022,24,stim,3,0.779125973,4
