TimePoint,Experiment,Group,Date,Time,Mode,Multiple Reads per Well (Circle (filled)),Multiple Reads per Well (Border),Excitation Wavelength,Emission Wavelength,Excitation Bandwidth,Emission Bandwidth,Gain,Number of Flashes,Integration Time,Lag Time,Settle Time,Well,Mean,StDev,5;14,6;14,7;14,8;14,9;14,11;13,10;13,9;13,8;13,7;13,6;13,5;13,4;13,3;13,2;12,3;12,4;12,5;12,6;12,7;12,8;12,9;12,10;12,11;12,12;12,13;11,12;11,11;11,10;11,9;11,8;11,7;11,6;11,5;11,4;11,3;11,2;11,1;11,1;10,2;10,3;10,4;10,5;10,6;10,7;10,8;10,9;10,10;10,11;10,12;10,13;10,14;9,13;9,12;9,11;9,10;9,9;9,8;9,7;9,6;9,5;9,4;9,3;9,2;9,1;9,0;9,0;8,1;8,2;8,3;8,4;8,5;8,6;8,7;8,8;8,9;8,10;8,11;8,12;8,13;8,14;8,14;7,13;7,12;7,11;7,10;7,9;7,8;7,7;7,6;7,5;7,4;7,3;7,2;7,1;7,0;7,0;6,1;6,2;6,3;6,4;6,5;6,6;6,7;6,8;6,9;6,10;6,11;6,12;6,13;6,14;6,14;5,13;5,12;5,11;5,10;5,9;5,8;5,7;5,6;5,5;5,4;5,3;5,2;5,1;5,0;5,1;4,2;4,3;4,4;4,5;4,6;4,7;4,8;4,9;4,10;4,11;4,12;4,13;4,13;3,12;3,11;3,10;3,9;3,8;3,7;3,6;3,5;3,4;3,3;3,2;3,1;3,2;2,3;2,4;2,5;2,6;2,7;2,8;2,9;2,10;2,11;2,12;2,11;1,10;1,9;1,8;1,7;1,6;1,5;1,4;1,3;1,5;0,6;0,7;0,8;0,9;0
0h,1,stim,2021/12/17,10:25:16,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A1,9537,799,6251,7340,12985,9389,8167,10447,8937,8696,8630,9731,9930,9255,8716,9487,9225,8928,10035,8931,9378,9849,9826,8837,9447,9468,9295,9018,8587,10176,9244,9273,9769,9455,9085,8946,9514,9108,9416,9331,8917,9685,10584,9716,10374,10006,9831,9149,9139,9346,9153,9087,9182,9762,7658,9811,10676,10386,9986,10300,9493,9177,8777,8691,8994,9313,9078,9151,9885,9246,10771,10408,10615,10527,10201,9581,8902,8411,8894,9210,9201,9296,9243,9548,8715,10166,10852,10939,10589,10214,9775,9090,8140,7987,8962,9357,8681,8877,10428,8750,10775,11315,10846,10226,9812,9657,9087,8111,8969,9232,9353,9307,8953,9991,8093,9705,11153,10768,9883,10405,10166,9429,8675,8754,9225,9422,8971,9166,10245,8901,10385,10829,10291,9599,9604,9565,8854,9477,9413,9414,9180,10452,7960,9475,10666,10113,9664,10072,10191,9395,9225,9257,9495,9287,10332,8895,9750,10769,10397,9563,9717,10017,9695,9175,9376,10403,8247,9146,10562,10082,9282,9761,10244,9818,10473,8602,10143,10323,9850
0h,1,stim,2021/12/17,10:25:16,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A2,9527,715,7360,9208,9978,7591,9454,9467,7008,9981,9783,9687,9550,9706,8954,9851,9274,8737,10080,8935,9529,10030,9532,9209,9362,9602,9317,9147,8988,9780,9089,9411,9934,9540,8789,8961,9620,9068,9196,9052,9705,9397,10695,9839,9852,9921,9563,8724,8819,9649,9141,9185,9205,9720,7811,9836,10471,10446,9898,10105,9419,9151,8917,8678,9219,9251,9026,9138,9644,9161,10680,10646,10702,10352,10112,9716,9154,8405,8837,9088,9193,9063,8943,9817,8547,10215,10945,10906,10426,10132,9843,8961,8309,8433,9098,9405,8964,9004,10557,8732,10630,11405,10833,10537,10161,9979,9215,8173,8598,9125,9299,9263,8939,9776,8347,9910,11208,10817,10044,10229,10087,9263,8679,8898,9413,9353,9036,9123,10417,8947,10438,10918,10660,9461,9409,9362,8987,9558,9607,9497,9050,10456,8176,9659,10798,9990,9813,9437,9742,9308,9187,9303,9566,9461,10300,8921,9685,10507,10192,9379,9828,10350,9914,9272,9224,10242,8238,9287,10786,10025,8973,9661,9908,9684,9591,10105,9296,9242,9653
0h,1,stim,2021/12/17,10:25:16,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A3,9519,763,6798,9664,8692,7213,8599,10560,7681,9093,8677,10033,10041,9258,8706,9498,9119,9222,10010,8748,9374,9983,9487,9051,9402,9476,9008,10139,8393,8576,10263,9679,9568,9124,9477,9371,9333,9011,9201,9324,9845,9395,9849,9944,9935,9895,9136,8975,8680,9304,9190,9004,8907,9742,7641,9974,10455,10481,10148,9866,9400,8835,8735,8763,9319,9577,9200,9296,10168,9046,10915,10685,10677,10467,10194,9824,9381,8223,8690,8967,9273,9134,9021,9589,8813,10449,10891,10924,10539,9941,9451,9117,8425,7836,9155,9484,9168,9218,10173,9109,10571,11349,10838,10357,10017,10064,8916,8101,8653,9159,9375,9282,9008,10193,8337,10055,11247,10799,10421,10201,9879,9272,8568,8657,9026,9444,9103,9349,10206,9116,10522,11033,10832,9690,9560,9226,8803,9494,9575,9451,9026,10558,8208,9901,10878,10207,9611,9573,9579,9504,9388,9322,9106,9083,10361,8929,9701,10709,10102,9300,9742,10203,9748,9222,9237,10362,8403,9362,10739,9809,9112,9740,10238,9660,10315,8654,9930,10413,9875
0h,1,pos,2021/12/17,10:25:16,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B1,9690,876,3558,7226,9905,8313,9850,9447,9029,9901,9304,9425,10113,9420,9111,9685,9297,9126,10240,9230,9574,10138,9874,9391,9821,9767,9258,9209,8800,9768,8797,9167,10027,9804,9251,9392,9901,9648,9286,9183,9769,9663,10851,9598,10380,10025,9782,9001,9263,9845,9329,9447,9207,10074,7643,9924,10375,10740,10087,10422,9634,9195,8820,8904,9436,9650,9189,9394,9813,9545,11118,10776,10786,10666,10351,9704,9209,8543,9361,9175,9319,9564,9359,10324,8818,10408,10981,11037,10640,10348,9599,9363,8354,8287,9227,9808,9102,9336,10809,9203,11028,11543,10969,10390,10431,10007,9135,8170,8998,9395,9592,9377,9062,10380,8502,9873,11346,11160,10657,10502,10187,9627,9024,8810,9299,9543,9162,9461,10844,9167,10613,11108,11043,9587,9452,9224,8950,9650,9738,9574,9347,10852,8196,9779,11201,10667,9779,10037,9886,9382,9380,9479,9557,9359,10405,9048,9987,11039,10455,9406,9702,10239,9908,9285,9395,10770,8418,9396,11130,10349,9376,10196,10408,9811,10769,8335,10375,10558,9991
0h,1,pos,2021/12/17,10:25:16,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B2,9908,898,3630,7383,10354,8602,9899,9718,9150,10271,9655,9444,10104,9776,9285,9854,9825,9300,10552,9538,9714,10468,10035,9451,9694,9823,9725,9669,9036,10077,9335,9392,10374,10094,9232,9236,9978,9776,9700,9523,9654,10140,10987,10045,10321,10278,10036,9332,9268,9794,9612,9401,9312,10147,7914,10131,10896,10511,10315,10513,9871,9427,8974,9040,9569,10175,9522,9554,10533,9906,11441,11086,11004,10951,10704,10235,9382,8507,9036,9308,9941,9531,9277,10090,9157,10319,11403,11348,10958,10621,10320,9498,8614,8269,9659,9889,9420,9370,10965,9299,11288,11942,11146,10983,10452,10573,9242,8206,9166,9680,9830,9421,9500,10599,8490,10419,11673,11218,10810,10687,10420,9705,9031,8914,9822,9985,9389,9554,10380,9233,11133,11472,11151,9948,9503,9506,9109,9893,10114,9959,9512,10831,8607,10066,11301,10663,9973,10091,10196,9673,9553,9634,9841,9750,11069,9132,10169,11338,10681,9705,9799,10611,10114,9458,9813,11007,8643,9766,11265,10401,9534,9983,10531,10308,10862,9136,10550,11023,10083
0h,1,pos,2021/12/17,10:25:16,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B3,9840,1012,4210,8589,15981,9758,8011,11078,8863,9273,8869,10333,10365,9238,8714,9987,9412,9217,10393,9624,9833,10127,9889,9279,9667,9863,9636,9375,8719,10091,9135,9394,10335,10095,9374,9402,9739,9560,9333,9419,10128,9839,10811,9992,10016,10318,9515,8681,8923,9474,9775,9469,9279,9606,7661,9937,10350,10613,10705,10430,9830,9139,8963,8674,9646,10036,9707,9493,10456,9460,11287,10816,11205,10992,10653,10375,9459,8229,8984,9325,9645,9652,9161,10211,8822,10696,11448,11220,10862,10684,10155,9495,8310,7881,9369,10056,9225,9222,10476,9510,11360,11397,11234,10899,10388,10279,9280,8060,8798,9320,9990,9379,9298,10519,8434,10529,11746,11090,10553,10672,10458,9690,8880,8608,9717,10028,9263,9395,10882,9332,10929,11572,10956,9741,9542,9210,8954,9905,9808,9628,9418,10339,8343,9985,11260,10537,10060,10137,9976,9423,9231,9849,9952,9576,10886,9163,10051,11120,10549,9859,9954,10305,10001,9427,9503,11118,8642,9562,11324,10289,9336,9769,10158,10002,10606,8751,10346,10641,10022
0h,2,stim,2021/12/17,13:13:47,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A1,9470,827,6377,7029,12993,9653,8098,10099,9370,8282,8568,9936,9919,9166,8826,9472,9061,8541,10136,8983,9353,9907,9617,9122,9425,9367,9282,9351,8823,9893,9027,9185,9686,9553,8805,8817,9494,9161,8939,9196,9072,9625,10529,9783,9931,9794,9303,8446,8713,9437,9214,9069,8805,9838,7513,9711,10539,10541,10021,9948,9121,8887,8630,8573,9203,9130,9021,9084,9705,8948,10937,10655,10643,10477,10075,9292,8945,8137,8811,9090,9187,9155,9066,9524,8997,10397,10737,10813,10379,9585,9208,8933,8241,7742,8823,9275,9315,9261,10313,8479,10685,11175,10825,10057,9962,10009,8816,7729,8702,9375,9463,9209,9175,10139,8280,9956,11609,10709,9872,9871,10018,9206,8353,8537,9340,9498,9065,9228,10280,8988,10612,10861,10609,9130,9342,8949,8745,9403,9456,9286,9098,10421,8251,9555,10744,10079,9203,9474,9385,9096,9214,9552,9518,9198,10455,8895,9719,10691,10343,9312,9639,10092,9797,8825,9129,10606,8397,9086,10587,9962,8947,9522,10362,9856,10433,8545,10302,10300,9922
0h,2,stim,2021/12/17,13:13:47,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A2,9196,715,6705,7777,9209,7117,9190,8928,6696,9832,9551,8890,9116,9149,8739,9260,8912,8684,9592,8548,9165,9713,9316,8635,9117,9458,8831,8579,8512,9457,8504,9076,9633,9264,8830,8771,9396,8906,8690,8774,9334,8957,10302,9353,9454,9575,9116,8402,8709,9253,8875,8824,8905,9543,7479,9617,10151,10170,9474,9919,8999,8723,8526,8357,8816,9113,8846,9061,9283,8999,10322,9981,10189,10144,9829,9318,9024,8211,8485,8708,8915,9014,8691,9614,8251,9821,10677,10625,10038,9683,9294,8612,8010,7997,8684,9032,8564,8940,10224,8419,10369,10992,10424,9883,9829,9617,8820,7947,8574,8971,9170,8861,8836,9673,8185,9429,10515,10425,9901,9830,9610,8979,8232,8550,9119,8859,8857,8848,9958,8705,10201,10385,10386,8846,9195,8988,8851,9100,8979,9111,8861,9842,7917,9299,10313,9913,8955,9302,9418,9122,8885,9110,9230,9129,10037,8650,9269,10308,9837,8947,9361,9927,9961,8801,9101,10311,8032,9112,10245,9678,8724,9259,9741,9458,10059,8237,9804,9791,9789
0h,2,stim,2021/12/17,13:13:47,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A3,8575,740,5405,8644,8290,5874,8409,8539,6227,8995,8513,8227,8121,8890,8249,8408,8118,8139,9119,7916,8458,8997,8602,8112,8448,8504,8347,8392,7743,9082,7997,8478,8736,8790,8173,8268,8488,8562,7973,8222,8886,8438,9643,8389,8967,8773,8686,7633,7976,8275,8304,8145,8368,8343,6914,8679,9315,9642,9338,9210,8185,8013,7687,8080,8213,8438,8287,8614,9190,8266,9921,9392,9670,9462,9278,8669,8504,7302,7829,7956,8296,8348,8303,8978,7804,9522,9831,9974,9227,9024,8409,8182,7055,7387,8132,8431,8304,8382,9133,8040,9780,10052,9997,9217,9017,8699,8011,7116,7929,8126,8468,8389,8329,9171,7421,9021,10081,9893,8917,9287,8667,8321,7565,7763,8357,8611,8174,8442,9415,8078,9825,9905,9827,8310,8558,8043,8207,8361,8616,8658,8468,9108,7374,8611,9671,9250,8357,8512,8782,8747,8234,8636,8593,8450,9481,7892,8837,9605,9643,8245,8953,9273,9085,8264,8295,9868,7655,8595,9711,9188,8320,8818,9098,8892,9298,7666,9193,9165,9130
0h,2,pos,2021/12/17,13:13:47,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B1,20003,1945,6795,14175,20887,15700,19649,19940,17802,20527,19514,19650,20030,19515,18760,19820,18646,19564,20551,18676,19452,20997,19733,18613,19601,19988,19758,19412,18352,20368,18846,18954,20388,20062,18248,18991,20176,19717,18948,19008,20039,20035,22646,20160,21158,20822,19983,18201,18678,20101,19697,18935,18823,19889,16118,20442,21403,21968,21299,21195,19128,18427,18039,17720,19341,19610,19352,19206,21353,19825,23457,23134,22751,21937,21405,20336,19027,16803,18698,19440,19581,19057,19068,21434,18236,21361,23263,22985,22157,21377,19799,19293,17666,16053,18461,19908,19223,19308,21230,18896,23039,24567,22816,21160,21205,20944,18490,16166,18452,19686,19649,19059,19040,21758,17565,21439,24144,23076,21566,21694,21048,19720,18458,17870,19494,19888,18976,19770,21620,19156,22376,23137,22550,19632,19076,18875,18877,20444,20342,20117,19526,21810,17459,20597,23045,21703,20323,20426,20685,20224,19481,19635,20058,19845,22186,18830,20708,22323,21879,19520,20490,21904,20960,19605,19426,22842,17246,19987,23330,21419,19194,20441,22034,20712,22301,17695,21338,22264,21455
